threshold,hidden,target,MRE,k
0.2,60,3,0.028306739572848454,5
0.2,70,0,0.37081914057477194,14
0.2,70,1,0.1580922814648528,27
0.2,70,2,0.4940467872141622,14
0.2,70,3,0.01100621139015004,5
0.2,80,0,0.3643553433420449,14
0.2,80,1,0.3153963901348405,27
0.2,80,2,0.34567491001089745,14
0.2,80,3,0.03516750726781719,5
0.2,90,0,0.3697772379827983,14
0.2,90,1,0.11791393805284718,27
0.2,90,2,0.42520337416207643,14
0.2,90,3,0.012528731627957092,5
0.2,100,0,0.2294115154024556,14
0.2,100,1,0.1697432722503861,27
0.2,100,2,0.3194301250723911,14
0.2,100,3,0.012955851492915327,5
0.2,110,0,0.40589436440848553,14
0.2,110,1,0.22385032355506482,27
0.2,110,2,0.5139590904752155,14
0.2,110,3,0.013755417544128975,5
0.2,120,0,0.2266965715677642,14
0.2,120,1,0.5774918897133168,27
0.2,120,2,0.5673601866588677,14
0.2,120,3,0.022722764610522164,5
0.2,130,0,0.3936778267717172,14
0.2,130,1,0.4669196120209627,27
0.2,130,2,0.4768368804449241,14
0.2,130,3,0.014298667359851754,5
0.2,140,0,0.32361573178561814,14
0.2,140,1,0.18209867331422133,27
0.2,140,2,0.4903349159924709,14
0.2,140,3,0.014771319577236966,5
0.2,150,0,0.21558231390092358,14
0.2,150,1,0.599882456184093,27
0.2,150,2,0.6081064310648275,14
0.2,150,3,0.01326874984834564,5
0.2,160,0,0.3568098861835537,14
0.2,160,1,0.1919539238433085,27
0.2,160,2,0.7684871751984774,14
0.2,160,3,0.02474521605110098,5
0.2,170,0,0.21444563634677022,14
0.2,170,1,0.33325969240008135,27
0.2,170,2,0.55166959145646,14
0.2,170,3,0.029348941343455368,5
0.2,180,0,0.2619975005091041,14
0.2,180,1,0.10185440921683113,27
0.2,180,2,0.38589889449003006,14
0.2,180,3,0.02202788279149188,5
0.2,190,0,0.3116448920791598,14
0.2,190,1,0.2846617257284683,27
0.2,190,2,0.8747770714044701,14
0.2,190,3,0.03958559966585821,5
0.2,200,0,0.25018753857075127,14
0.2,200,1,0.20456505659635155,27
0.2,200,2,1.0120199509468737,14
0.2,200,3,0.030448803460185886,5
0.30000000000000004,10,0,0.5719295499366555,7
0.30000000000000004,10,1,0.2712001339327953,10
0.30000000000000004,10,2,0.9610621983393639,7
0.30000000000000004,10,3,0.0270944710270049,5
0.30000000000000004,20,0,0.4710477517700111,7
0.30000000000000004,20,1,0.28140469300150756,10
0.30000000000000004,20,2,0.5449682804499153,7
0.30000000000000004,20,3,0.015605713361244717,5
0.30000000000000004,30,0,0.537974048370041,7
0.30000000000000004,30,1,0.4259806071580275,10
0.30000000000000004,30,2,0.7855874663038119,7
0.30000000000000004,30,3,0.017327745003172645,5
0.30000000000000004,40,0,0.5192340426122136,7
